date,hs300_benchmark,single_momentum_nav,thr_3%_def_30%_nav,thr_3%_def_50%_nav,thr_3%_def_70%_nav,thr_5%_def_30%_nav,thr_5%_def_50%_nav,thr_5%_def_70%_nav,thr_8%_def_30%_nav,thr_8%_def_50%_nav,thr_8%_def_70%_nav
2012-07-16,0.9362519201228873,0.9790200883889115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-17,0.938172043010752,0.9810279228605867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-18,0.938172043010752,0.9810279228605867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-19,0.9412442396313355,0.984240458015267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-20,0.934331797235022,0.9770122539172356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-23,0.9228110599078332,0.9649652470871833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-24,0.9247311827956979,0.9669730815588585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-25,0.9189708141321034,0.9609495781438324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-26,0.9147465437788008,0.9565323423061467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-27,0.9158986175115197,0.9577370429891519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-30,0.9128264208909359,0.9545245078344712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-31,0.9105222734254982,0.9521151064684609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-01,0.9174347158218115,0.9593433105664921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-02,0.9105222734254982,0.9521151064684609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-03,0.9158986175115196,0.9577370429891517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-06,0.9278033794162818,0.9701856167135393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-07,0.9289554531490006,0.9713903173965445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-08,0.9297235023041465,0.9721934511852145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-09,0.9389400921658977,0.9818310566492564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-10,0.936251920122887,0.979020088388911,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-13,0.9185867895545305,0.9605480112494974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-14,0.9170506912442387,0.9589417436721571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-15,0.9086021505376335,0.9501072719967856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-16,0.9059139784946227,0.94729630373644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-17,0.9020737327188931,0.9432806347930893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-20,0.8970814132104444,0.9380602651667332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-21,0.9005376344086012,0.941674367215749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-22,0.8940092165898608,0.9348477300120527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-23,0.8982334869431634,0.9392649658497385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-24,0.8894009216589852,0.9300289272800317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-27,0.8709677419354829,0.9107537163519481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-28,0.8709677419354829,0.9107537163519481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-29,0.8652073732718885,0.9047302129369221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-30,0.8613671274961587,0.9007145439935713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-31,0.8613671274961587,0.9007145439935713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-03,0.8667434715821803,0.9063364805142624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-04,0.857526881720429,0.8966988750502204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-05,0.8571428571428563,0.8962973081558856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-06,0.8655913978494612,0.9051317798312569,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-07,0.9051459293394766,0.9464931699477697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-10,0.9082181259600604,0.9497057051024502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-11,0.9013056835637469,0.9424775010044187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-12,0.9059139784946224,0.9472963037364396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-13,0.8970814132104441,0.9380602651667328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-14,0.9032258064516115,0.944485335476094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-17,0.8821044546850986,0.9223991562876651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-18,0.8713517665130556,0.911155283246283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-19,0.8748079877112122,0.9147693852952986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-20,0.8559907834101369,0.89509260747288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-21,0.855606758832564,0.894691040578545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-24,0.8632872503840232,0.9027223784652464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-25,0.8621351766513042,0.9015176777822411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-26,0.8529185867895531,0.8918800723181993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-27,0.8774961597542228,0.917580353555644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-28,0.8978494623655899,0.9388633989554029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-08,0.8844086021505362,0.9248085576536753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-09,0.9047619047619032,0.9460916030534342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-10,0.9047619047619032,0.9460916030534342,0.9995,0.9995,0.9995,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-11,0.8986175115207359,0.9396665327440732,0.992712224108659,0.992712224108659,0.992712224108659,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-12,0.89784946236559,0.9388633989554032,0.9918637521222414,0.9918637521222414,0.9918637521222414,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-15,0.8947772657450062,0.9356508638007224,0.9884698641765706,0.9884698641765706,0.9884698641765706,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-16,0.8951612903225793,0.9360524306950577,0.9888941001697796,0.9888941001697796,0.9888941001697796,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-17,0.898617511520736,0.9396665327440734,0.9927122241086591,0.9927122241086591,0.9927122241086591,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-18,0.9097542242703521,0.9513119726797907,1.0050150679117154,1.0050150679117154,1.0050150679117154,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-19,0.9097542242703521,0.9513119726797907,1.0050150679117154,1.0050150679117154,1.0050150679117154,0.9995,0.9995,0.9995,1.0,1.0,1.0
2012-10-22,0.9132104454685087,0.9549260747288063,1.0045125603777596,1.0045125603777596,1.0045125603777596,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-10-23,0.9028417818740386,0.9440837685817592,1.0045125603777596,1.0045125603777596,1.0045125603777596,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-10-24,0.9013056835637467,0.942477501004419,1.0045125603777596,1.0045125603777596,1.0045125603777596,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-10-25,0.8940092165898603,0.9348477300120525,1.0045125603777596,1.0045125603777596,1.0045125603777596,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-10-26,0.874039938556066,0.9139662515066284,1.0045125603777596,1.0045125603777596,1.0045125603777596,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-10-29,0.8698156682027637,0.9095490156689428,1.0045125603777596,1.0045125603777596,1.0045125603777596,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-10-30,0.8717357910906285,0.9115568501406182,1.0045125603777596,1.0045125603777596,1.0045125603777596,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-10-31,0.877880184331796,0.9179819204499794,1.0045125603777596,1.0045125603777596,1.0045125603777596,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-01,0.8963133640552984,0.9372571313780631,1.0045125603777596,1.0045125603777596,1.0045125603777596,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-02,0.8982334869431632,0.9392649658497385,1.0061611402246007,1.0061611402246007,1.0061611402246007,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-05,0.8959293394777255,0.9368555644837281,1.0035801368721649,1.0035801368721649,1.0035801368721649,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-06,0.8924731182795687,0.9332414624347123,0.9997086318435108,0.9997086318435108,0.9997086318435108,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-07,0.8917050691244228,0.9324383286460423,0.9988482973926989,0.9988482973926989,0.9988482973926989,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-08,0.8755760368663582,0.9155725190839691,0.9807812739256474,0.9807812739256474,0.9807812739256474,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-09,0.8732718894009205,0.9131631177179588,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-12,0.8763440860215043,0.9163756528726394,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-13,0.8629032258064506,0.9023208115709119,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-14,0.8652073732718882,0.9047302129369222,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-15,0.8548387096774182,0.8938879067898752,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-16,0.8467741935483859,0.8854550020088386,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-19,0.8467741935483859,0.8854550020088386,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-20,0.8444700460829482,0.8830456006428282,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-21,0.8548387096774182,0.8938879067898752,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-22,0.8498463901689699,0.8886675371635194,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-23,0.8544546850998456,0.8934863398955404,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-26,0.8490783410138241,0.8878644033748493,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-27,0.8398617511520728,0.8782267979108075,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-28,0.8306451612903217,0.8685891924467657,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-29,0.827572964669738,0.865376657292085,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-11-30,0.8314132104454677,0.8693923262354358,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-03,0.8237327188940085,0.8613609883487343,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-04,0.8302611367127488,0.8681876255524306,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-05,0.8594470046082944,0.8987067095218965,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-06,0.8582949308755755,0.8975020088388912,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-07,0.8755760368663588,0.9155725190839694,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-10,0.8836405529953911,0.9240054238650061,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-11,0.8809523809523804,0.9211944556046605,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-12,0.8828725038402454,0.923202290076336,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-13,0.8759600614439321,0.9159740859783048,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-14,0.9201228878648231,0.9621542788268383,0.9802908832886846,0.9802908832886846,0.9802908832886846,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0,1.0,1.0
2012-12-17,0.922811059907834,0.964965247087184,0.9826632608708006,0.9826632608708006,0.9826632608708006,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0,1.0,1.0
2012-12-18,0.9086021505376343,0.9501072719967862,0.9675327820309256,0.9675327820309256,0.9675327820309256,0.985998653674562,0.985998653674562,0.985998653674562,1.0,1.0,1.0
2012-12-19,0.9109062980030718,0.9525166733627963,0.9699863731941483,0.9699863731941483,0.9699863731941483,0.9884990729146492,0.9884990729146492,0.9884990729146492,1.0,1.0,1.0
2012-12-20,0.9170506912442393,0.9589417436721576,0.976529282962743,0.976529282962743,0.976529282962743,0.9951668575548831,0.9951668575548831,0.9951668575548831,1.0,1.0,1.0
2012-12-21,0.9132104454685098,0.954926074728807,0.9724399643573715,0.9724399643573715,0.9724399643573715,0.9909994921547371,0.9909994921547371,0.9909994921547371,1.0,1.0,1.0
2012-12-24,0.9139784946236558,0.9557292085174771,0.9732578280784457,0.9732578280784457,0.9732578280784457,0.9918329652347664,0.9918329652347664,0.9918329652347664,1.0,1.0,1.0
2012-12-25,0.9393241167434717,0.9822326235435923,1.0002473308738988,1.0002473308738988,1.0002473308738988,1.019337576875731,1.019337576875731,1.019337576875731,1.0,1.0,1.0
2012-12-26,0.9420122887864824,0.9850435918039377,1.0031098538976588,1.0031098538976588,1.0031098538976588,1.022254732655833,1.022254732655833,1.022254732655833,1.0023603843008995,1.0023603843008995,1.0023603843008995
2012-12-27,0.9400921658986177,0.9830357573322624,1.0010651945949731,1.0010651945949731,1.0010651945949731,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0003172526574,1.0003172526574,1.0003172526574
2012-12-28,0.9539170506912443,0.9974921655283251,1.015786741574311,1.015786741574311,1.015786741574311,1.035173565396286,1.035173565396286,1.035173565396286,1.015027800490597,1.015027800490597,1.015027800490597
2012-12-31,0.969278033794163,1.0135548413017281,1.0321440159957975,1.0321440159957975,1.0321440159957975,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0313728536385938,1.0313728536385938,1.0313728536385938
2013-01-04,0.9715821812596007,1.0159642426677384,1.0345976071590204,1.0345976071590204,1.0345976071590204,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0338246116107932,1.0338246116107932,1.0338246116107932
2013-01-07,0.9731182795698926,1.0175705102450787,1.036233334601169,1.036233334601169,1.036233334601169,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.035459116925593,1.035459116925593,1.035459116925593
2013-01-08,0.9688940092165901,1.013153274407393,1.0317350841352604,1.0317350841352604,1.0317350841352604,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.030964227309894,1.030964227309894,1.030964227309894
2013-01-09,0.9681259600614442,1.012350140618723,1.030917220414186,1.030917220414186,1.030917220414186,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0301469746524943,1.0301469746524943,1.0301469746524943
2013-01-10,0.9704301075268821,1.0147595419847335,1.0333708115774092,1.0333708115774092,1.0333708115774092,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0325987326246937,1.0325987326246937,1.0325987326246937
2013-01-11,0.9558371735791096,0.9995000000000008,1.017831400876997,1.017831400876997,1.017831400876997,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.017070932134097,1.017070932134097,1.017070932134097
2013-01-14,0.9896313364055304,1.0348378867014871,1.0538174046042672,1.0538174046042672,1.0538174046042672,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0530300490596896,1.0530300490596896,1.0530300490596896
2013-01-15,0.9953917050691249,1.0408613901165134,1.0599513825123246,1.0599513825123246,1.0599513825123246,1.080181111717864,1.080181111717864,1.080181111717864,1.0591594439901884,1.0591594439901884,1.0591594439901884
2013-01-16,0.9880952380952385,1.0332316191241468,1.0521816771621184,1.0521816771621184,1.0521816771621184,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0513955437448899,1.0513955437448899,1.0513955437448899
2013-01-17,0.981950844854071,1.0268065488147857,1.045638767393524,1.045638767393524,1.045638767393524,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.044857522485691,1.044857522485691,1.044857522485691
2013-01-18,0.996543778801844,1.0420660907995187,1.0611781780939362,1.0611781780939362,1.0611781780939362,1.081431321337908,1.081431321337908,1.081431321337908,1.0603853229762883,1.0603853229762883,1.0603853229762883
2013-01-21,1.0000000000000004,1.0456801928485342,1.0648585648387703,1.0648585648387703,1.0648585648387703,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0640629599345872,1.0640629599345872,1.0640629599345872
2013-01-22,0.9984639016897086,1.044073925271194,1.0632228373966217,1.0632228373966217,1.0632228373966217,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0624284546197875,1.0624284546197875,1.0624284546197875
2013-01-23,1.0003840245775735,1.0460817597428693,1.0652674966993074,1.0652674966993074,1.0652674966993074,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0644715862632872,1.0644715862632872,1.0644715862632872
2013-01-24,0.9938556067588331,1.039255122539173,1.0583156550701758,1.0583156550701758,1.0583156550701758,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0575249386753887,1.0575249386753887,1.0575249386753887
2013-01-25,0.9892473118279576,1.0344363198071522,1.0534084727437298,1.0534084727437298,1.0534084727437298,1.07351332707763,1.07351332707763,1.07351332707763,1.0569961762060511,1.0569961762060511,1.0569961762060511
2013-01-28,1.0161290322580652,1.0625460024106075,1.0820337029813312,1.0820337029813312,1.0820337029813312,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.0851760389363707,1.0851760389363707,1.0851760389363707
2013-01-29,1.0238095238095244,1.0705773402973089,1.0902123401920745,1.0902123401920745,1.0902123401920745,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.0933784277416343,1.0933784277416343,1.0933784277416343
2013-01-30,1.029569892473119,1.076600843712335,1.096346318100132,1.096346318100132,1.096346318100132,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.099530219345582,1.099530219345582,1.099530219345582
2013-01-31,1.03225806451613,1.0794118119726808,1.0992088411238923,1.0992088411238923,1.0992088411238923,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1024010554274244,1.1024010554274244,1.1024010554274244
2013-02-01,1.052227342549924,1.1002932904781046,1.1204732978718248,1.1204732978718248,1.1204732978718248,1.141858119640026,1.141858119640026,1.141858119640026,1.1237272663211098,1.1237272663211098,1.1237272663211098
2013-02-04,1.0541474654377887,1.1023011249497798,1.1225179571745105,1.1225179571745105,1.1225179571745105,1.143941802340099,1.143941802340099,1.143941802340099,1.1257778635224256,1.1257778635224256,1.1257778635224256
2013-02-05,1.061827956989248,1.1103324628364812,1.1306965943852536,1.1306965943852536,1.1306965943852536,1.152276533140391,1.152276533140391,1.152276533140391,1.1339802523276892,1.1339802523276892,1.1339802523276892
2013-02-06,1.0649001536098317,1.113544997991162,1.133968049269551,1.133968049269551,1.133968049269551,1.155610425460508,1.155610425460508,1.155610425460508,1.1372612078497948,1.1372612078497948,1.1372612078497948
2013-02-07,1.059907834101383,1.108324628364806,1.1286519350825677,1.1286519350825677,1.1286519350825677,1.150192850440318,1.150192850440318,1.150192850440318,1.1319296551263733,1.1319296551263733,1.1319296551263733
2013-02-08,1.0633640552995398,1.1119387304138217,1.1323323218274022,1.1323323218274022,1.1323323218274022,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.135620730088742,1.135620730088742,1.135620730088742
2013-02-18,1.0476190476190483,1.0954744877460838,1.1155661155453787,1.1155661155453787,1.1155661155453787,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1188058330379518,1.1188058330379518,1.1188058330379518
2013-02-19,1.030721966205838,1.0778055443953407,1.0975731136817437,1.0975731136817437,1.0975731136817437,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1182464301214328,1.1182464301214328,1.1182464301214328
2013-02-20,1.0353302611367137,1.0826243471273616,1.1024802960081896,1.1024802960081896,1.1024802960081896,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1182464301214328,1.1182464301214328,1.1182464301214328
