date,baseline_threshold_dual_nav,overheat_cap_70_nav,overheat_cap_40_nav,overheat_cap_50_nav,hs300_benchmark
2012-09-17,1.0,1.0,1.0,1.0,0.8821044546850986
2012-09-18,1.0,1.0,1.0,1.0,0.8713517665130556
2012-09-19,1.0,1.0,1.0,1.0,0.8748079877112122
2012-09-20,1.0,1.0,1.0,1.0,0.8559907834101369
2012-09-21,1.0,1.0,1.0,1.0,0.855606758832564
2012-09-24,1.0,1.0,1.0,1.0,0.8632872503840232
2012-09-25,1.0,1.0,1.0,1.0,0.8621351766513042
2012-09-26,1.0,1.0,1.0,1.0,0.8529185867895531
2012-09-27,1.0,1.0,1.0,1.0,0.8774961597542228
2012-09-28,1.0,1.0,1.0,1.0,0.8978494623655899
2012-10-08,1.0,1.0,1.0,1.0,0.8844086021505362
2012-10-09,1.0,1.0,1.0,1.0,0.9047619047619032
2012-10-10,1.0,1.0,1.0,1.0,0.9047619047619032
2012-10-11,1.0,1.0,1.0,1.0,0.8986175115207359
2012-10-12,1.0,1.0,1.0,1.0,0.89784946236559
2012-10-15,1.0,1.0,1.0,1.0,0.8947772657450062
2012-10-16,1.0,1.0,1.0,1.0,0.8951612903225793
2012-10-17,1.0,1.0,1.0,1.0,0.898617511520736
2012-10-18,0.9995,0.9995,0.9995,0.9995,0.9097542242703521
2012-10-19,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9097542242703521
2012-10-22,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9132104454685087
2012-10-23,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9028417818740386
2012-10-24,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9013056835637467
2012-10-25,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8940092165898603
2012-10-26,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.874039938556066
2012-10-29,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8698156682027637
2012-10-30,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8717357910906285
2012-10-31,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.877880184331796
2012-11-01,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8963133640552984
2012-11-02,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8982334869431632
2012-11-05,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8959293394777255
2012-11-06,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8924731182795687
2012-11-07,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8917050691244228
2012-11-08,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8755760368663582
2012-11-09,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8732718894009205
2012-11-12,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8763440860215043
2012-11-13,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8629032258064506
2012-11-14,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8652073732718882
2012-11-15,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8548387096774182
2012-11-16,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8467741935483859
2012-11-19,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8467741935483859
2012-11-20,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8444700460829482
2012-11-21,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8548387096774182
2012-11-22,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8498463901689699
2012-11-23,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8544546850998456
2012-11-26,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8490783410138241
2012-11-27,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8398617511520728
2012-11-28,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8306451612903217
2012-11-29,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.827572964669738
2012-11-30,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8314132104454677
2012-12-03,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8237327188940085
2012-12-04,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8302611367127488
2012-12-05,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8594470046082944
2012-12-06,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8582949308755755
2012-12-07,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8755760368663588
2012-12-10,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8836405529953911
2012-12-11,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8809523809523804
2012-12-12,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8828725038402454
2012-12-13,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8759600614439321
2012-12-14,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9201228878648231
2012-12-17,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,0.922811059907834
2012-12-18,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.9086021505376343
2012-12-19,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9109062980030718
2012-12-20,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9170506912442393
2012-12-21,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9132104454685098
2012-12-24,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9139784946236558
2012-12-25,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,0.9393241167434717
2012-12-26,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,0.9420122887864824
2012-12-27,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,0.9400921658986177
2012-12-28,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,0.9539170506912443
2012-12-31,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,0.969278033794163
2013-01-04,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,0.9715821812596007
2013-01-07,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,0.9731182795698926
2013-01-08,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,0.9688940092165901
2013-01-09,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,0.9681259600614442
2013-01-10,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,0.9704301075268821
2013-01-11,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,0.9558371735791096
2013-01-14,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,0.9896313364055304
2013-01-15,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,0.9953917050691249
2013-01-16,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,0.9880952380952385
2013-01-17,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,0.981950844854071
2013-01-18,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,0.996543778801844
2013-01-21,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0000000000000004
2013-01-22,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,0.9984639016897086
2013-01-23,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0003840245775735
2013-01-24,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,0.9938556067588331
2013-01-25,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,0.9892473118279576
2013-01-28,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.0161290322580652
2013-01-29,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.0238095238095244
2013-01-30,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.029569892473119
2013-01-31,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.03225806451613
2013-02-01,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.052227342549924
2013-02-04,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.0541474654377887
2013-02-05,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.061827956989248
2013-02-06,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.0649001536098317
2013-02-07,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.059907834101383
2013-02-08,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.0633640552995398
2013-02-18,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.0476190476190483
2013-02-19,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.030721966205838
2013-02-20,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.0353302611367137
2013-02-21,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.998463901689709
2013-02-22,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9953917050691252
2013-02-25,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.996927803379417
2013-02-26,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9823348694316442
2013-02-27,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9915514592933954
2013-02-28,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0249615975422437
2013-03-01,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0238095238095248
2013-03-04,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9754224270353312
2013-03-05,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0034562211981577
2013-03-06,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0142089093702007
2013-03-07,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0019201228878658
2013-03-08,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.000384024577574
2013-03-11,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9934715821812606
2013-03-12,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9792626728110608
2013-03-13,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9685099846390176
2013-03-14,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9704301075268826
2013-03-15,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9711981566820285
2013-03-18,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9608294930875583
2013-03-19,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9692780337941638
2013-03-20,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9988479262672821
2013-03-21,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.001536098310293
2013-03-22,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0042242703533037
2013-03-25,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0026881720430119
2013-03-26,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9861751152073743
2013-03-27,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.988479262672812
2013-03-28,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.957757296466975
2013-03-29,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9550691244239641
2013-04-01,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9535330261136722
2013-04-02,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.955069124423964
2013-04-03,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9531490015360993
2013-04-08,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9485407066052237
2013-04-09,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.954301075268818
2013-04-10,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.954301075268818
2013-04-11,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9500768049155155
2013-04-12,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9470046082949319
2013-04-15,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9374039938556077
2013-04-16,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9431643625192023
2013-04-17,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9454685099846403
2013-04-18,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9473886328725051
2013-04-19,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9742703533026127
2013-04-22,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9711981566820289
2013-04-23,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9416282642089107
2013-04-24,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9577572964669752
2013-04-25,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.947772657450078
2013-04-26,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9389400921658998
2013-05-02,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9397081413210457
2013-05-03,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9566052227342563
2013-05-06,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9677419354838726
2013-05-07,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9700460829493104
2013-05-08,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9761904761904779
2013-05-09,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9711981566820294
2013-05-10,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9750384024577592
2013-05-13,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9711981566820295
2013-05-14,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9569892473118298
2013-05-15,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9615975422427054
2013-05-16,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9811827956989266
2013-05-17,1.0829732465359618,1.0829732465359618,1.0829732465359618,1.0829732465359618,0.9980798771121372
2013-05-20,1.0824317599126938,1.0824317599126938,1.0824317599126938,1.0824317599126938,1.0038402457757316
2013-05-21,1.0824317599126938,1.0824317599126938,1.0824317599126938,1.0824317599126938,1.0038402457757316
2013-05-22,1.0836740304864267,1.0836740304864267,1.0836740304864267,1.0836740304864267,1.0049923195084505
2013-05-23,1.0720795051315855,1.0720795051315855,1.0720795051315855,1.0720795051315855,0.9942396313364075
2013-05-24,1.0778767678090064,1.0778767678090064,1.0778767678090064,1.0778767678090064,0.9996159754224292
2013-05-27,1.07539222666154,1.07539222666154,1.07539222666154,1.07539222666154,0.9973118279569911
2013-05-28,1.0977530969887344,1.0977530969887344,1.0977530969887344,1.0977530969887344,1.0180491551459314
2013-05-29,1.0934792721249018,1.0934792721249018,1.0934792721249018,1.0934792721249018,1.0145929339477748
2013-05-30,1.0934792721249018,1.0934792721249018,1.0934792721249018,1.0934792721249018,1.011904761904764
2013-05-31,1.0929325324888395,1.0929325324888395,1.0929325324888395,1.0929325324888395,1.0003840245775752
2013-06-03,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0023041474654402
2013-06-04,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9877112135176678
2013-06-05,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9850230414746568
2013-06-06,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9754224270353328
2013-06-07,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9577572964669766
2013-06-13,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.928187403993858
2013-06-14,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9347158218125985
2013-06-17,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.928955453149004
2013-06-18,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9350998463901714
2013-06-19,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9297235023041498
2013-06-20,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9005376344086045
2013-06-21,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8963133640553017
2013-06-24,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8413978494623674
2013-06-25,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8417818740399405
2013-06-26,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8398617511520756
2013-06-27,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8402457757296486
2013-06-28,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8556067588325672
2013-07-01,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8590629800307237
2013-07-02,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8617511520737344
2013-07-03,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8598310291858694
2013-07-04,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.865975422427037
2013-07-05,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8690476190476207
2013-07-08,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8456221198156697
2013-07-09,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8437019969278049
2013-07-10,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8671274961597557
2013-07-11,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9105222734255008
2013-07-12,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8878648233486959
2013-07-15,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.9005376344086036
2013-07-16,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.905913978494625
2013-07-17,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8924731182795711
2013-07-18,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8786482334869443
2013-07-19,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8544546850998477
2013-07-22,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8598310291858692
2013-07-23,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8867127496159771
2013-07-24,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8801843317972367
2013-07-25,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8778801843317989
2013-07-26,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8698156682027668
2013-07-29,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8529185867895563
2013-07-30,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8579109062980048
2013-07-31,1.0944827765224465,1.0944827765224465,1.0944827765224465,1.0944827765224465,0.8598310291858693
2013-08-01,1.0939355351341853,1.0939355351341853,1.0939355351341853,1.0939355351341853,0.8824884792626745
2013-08-02,1.0914853670752924,1.0914853670752924,1.0914853670752924,1.0914853670752924,0.8809523809523826
2013-08-05,1.0914853670752924,1.0914853670752924,1.0914853670752924,1.0914853670752924,0.8936251920122904
2013-08-06,1.0914853670752924,1.0914853670752924,1.0914853670752924,1.0914853670752924,0.8993855606758848
2013-08-07,1.0914853670752924,1.0914853670752924,1.0914853670752924,1.0914853670752924,0.8932411674347174
2013-08-08,1.0914853670752924,1.0914853670752924,1.0914853670752924,1.0914853670752924,0.8936251920122903
2013-08-09,1.0914853670752924,1.0914853670752924,1.0914853670752924,1.0914853670752924,0.8974654377880201
2013-08-12,1.0909396243917548,1.0909396243917548,1.0909396243917548,1.0909396243917548,0.9243471582181277
2013-08-13,1.0909396243917548,1.0909396243917548,1.0909396243917548,1.0909396243917548,0.9243471582181277
2013-08-14,1.08867344320274,1.08867344320274,1.08867344320274,1.08867344320274,0.9224270353302629
2013-08-15,1.0754448371299847,1.0754448371299847,1.0754448371299847,1.0754448371299847,0.9116743471582199
2013-08-16,1.0754448371299847,1.0754448371299847,1.0754448371299847,1.0754448371299847,0.9051459293394796
2013-08-19,1.0754448371299847,1.0754448371299847,1.0754448371299847,1.0754448371299847,0.9128264208909388
2013-08-20,1.0754448371299847,1.0754448371299847,1.0754448371299847,1.0754448371299847,0.9062980030721984
2013-08-21,1.0754448371299847,1.0754448371299847,1.0754448371299847,1.0754448371299847,0.9062980030721984
2013-08-22,1.0754448371299847,1.0754448371299847,1.0754448371299847,1.0754448371299847,0.9032258064516145
2013-08-23,1.0749071147114198,1.0749071147114198,1.0749071147114198,1.0749071147114198,0.8974654377880201
2013-08-26,1.0988246029292175,1.0988246029292175,1.0988246029292175,1.0988246029292175,0.9174347158218141
2013-08-27,1.0982751906277528,1.0982751906277528,1.0982751906277528,1.0982751906277528,0.9174347158218141
2013-08-28,1.0982751906277528,1.0982751906277528,1.0982751906277528,1.0982751906277528,0.9132104454685116
