date,hs300_benchmark_nav,baseline_nav,confirm60_top2_nav,confirm60_top3_nav,slope_r2_020_nav,tie_r2_gap005_nav,leader_margin005_nav,continuous_transition_nav,extreme_volcap_nav,combo_confirm_tie_volcap_nav
2012-07-17,0.938172043010752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-18,0.938172043010752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-19,0.9412442396313355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-20,0.934331797235022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-23,0.9228110599078332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-24,0.9247311827956979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-25,0.9189708141321034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-26,0.9147465437788008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-27,0.9158986175115197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-30,0.9128264208909359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-31,0.9105222734254982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-01,0.9174347158218115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-02,0.9105222734254982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-03,0.9158986175115196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-06,0.9278033794162818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-07,0.9289554531490006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-08,0.9297235023041465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-09,0.9389400921658977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-10,0.936251920122887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-13,0.9185867895545305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-14,0.9170506912442387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-15,0.9086021505376335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-16,0.9059139784946227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-17,0.9020737327188931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-20,0.8970814132104444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-21,0.9005376344086012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-22,0.8940092165898608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-23,0.8982334869431634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-24,0.8894009216589852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-27,0.8709677419354829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-28,0.8709677419354829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-29,0.8652073732718885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-30,0.8613671274961587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-31,0.8613671274961587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-03,0.8667434715821803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-04,0.857526881720429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-05,0.8571428571428563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-06,0.8655913978494612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-07,0.9051459293394766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-10,0.9082181259600604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-11,0.9013056835637469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-12,0.9059139784946224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-13,0.8970814132104441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-14,0.9032258064516115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-17,0.8821044546850986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-18,0.8713517665130556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-19,0.8748079877112122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-20,0.8559907834101369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-21,0.855606758832564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-24,0.8632872503840232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-25,0.8621351766513042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-26,0.8529185867895531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-27,0.8774961597542228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-28,0.8978494623655899,1.0,1.0,1.0,1.0,1.0,1.0,0.9999050086355786,1.0,1.0
2012-10-08,0.8844086021505362,1.0,1.0,1.0,1.0,1.0,1.0,0.997002070702172,1.0,1.0
2012-10-09,0.9047619047619032,1.0,1.0,1.0,1.0,1.0,1.0,1.003849056250466,1.0,1.0
2012-10-10,0.9047619047619032,1.0,1.0,1.0,1.0,1.0,1.0,1.0037796288797727,1.0,1.0
2012-10-11,0.8986175115207359,1.0,1.0,1.0,1.0,1.0,1.0,0.9975220929749646,1.0,1.0
2012-10-12,0.89784946236559,1.0,1.0,1.0,1.0,1.0,1.0,0.9967757948539542,1.0,1.0
2012-10-15,0.8947772657450062,1.0,1.0,1.0,1.0,1.0,1.0,0.9937871737233013,1.0,1.0
2012-10-16,0.8951612903225793,1.0,1.0,1.0,1.0,1.0,1.0,0.9939483302472868,1.0,1.0
2012-10-17,0.898617511520736,1.0,1.0,1.0,1.0,1.0,1.0,0.9972719114815697,1.0,1.0
2012-10-18,0.9097542242703521,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,1.0092162974875762,0.9995,0.9995
2012-10-19,0.9097542242703521,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0087630707370923,0.9990002500000001,0.9990002500000001
2012-10-22,0.9132104454685087,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0091492053688278,0.9990002500000001,0.9990002500000001
2012-10-23,0.9028417818740386,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0078513320375246,0.9990002500000001,0.9990002500000001
2012-10-24,0.9013056835637467,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0077757066984758,0.9990002500000001,0.9990002500000001
2012-10-25,0.8940092165898603,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0077757066984758,0.9990002500000001,0.9990002500000001
2012-10-26,0.874039938556066,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0077757066984758,0.9990002500000001,0.9990002500000001
2012-10-29,0.8698156682027637,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0077757066984758,0.9990002500000001,0.9990002500000001
2012-10-30,0.8717357910906285,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.007771265201311,0.9990002500000001,0.9990002500000001
2012-10-31,0.877880184331796,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0078029244534732,0.9990002500000001,0.9990002500000001
2012-11-01,0.8963133640552984,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0088492315378992,0.9990002500000001,0.9990002500000001
2012-11-02,0.8982334869431632,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0108579206681316,0.9990002500000001,0.9990002500000001
2012-11-05,0.8959293394777255,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0081530954759503,0.9990002500000001,0.9990002500000001
2012-11-06,0.8924731182795687,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0051856577912404,0.9990002500000001,0.9990002500000001
2012-11-07,0.8917050691244228,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,1.0044735212475886,0.9990002500000001,0.9990002500000001
2012-11-08,0.8755760368663582,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-09,0.8732718894009205,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-12,0.8763440860215043,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-13,0.8629032258064506,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-14,0.8652073732718882,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-15,0.8548387096774182,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-16,0.8467741935483859,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-19,0.8467741935483859,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-20,0.8444700460829482,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-21,0.8548387096774182,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-22,0.8498463901689699,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-23,0.8544546850998456,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-26,0.8490783410138241,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-27,0.8398617511520728,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-28,0.8306451612903217,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-29,0.827572964669738,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-11-30,0.8314132104454677,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-12-03,0.8237327188940085,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-12-04,0.8302611367127488,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-12-05,0.8594470046082944,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-12-06,0.8582949308755755,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-12-07,0.8755760368663588,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-12-10,0.8836405529953911,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-12-11,0.8809523809523804,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-12-12,0.8828725038402454,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9874997493665276,0.9990002500000001,0.9990002500000001
2012-12-13,0.8759600614439321,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.987495418227276,0.9990002500000001,0.9990002500000001
2012-12-14,0.9201228878648231,0.998500749875,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9874425049041006,0.9985007498750001,0.9985007498750001
2012-12-17,0.922811059907834,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,0.9903273536246051,1.0014179056551025,1.0014179056551025
2012-12-18,0.9086021505376343,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.9750788675305101,0.9859930514094843,0.9859930514094843
2012-12-19,0.9109062980030718,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9775515950052278,0.9884594264704335,0.9884594264704335
2012-12-20,0.9170506912442393,0.9951668575548832,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9841455349378095,0.9951269436810267,0.9951269436810267
2012-12-21,0.9132104454685098,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9800243224799461,0.9909597454244061,0.9909597454244061
2012-12-24,0.9139784946236558,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9808485649715187,0.9917931850757302,0.9917931850757302
2012-12-25,0.9393241167434717,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.0080485671934183,1.019288603913129,1.019288603913129
2012-12-26,0.9420122887864824,1.0222547326558329,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.0109334159139227,1.022151205330751,1.022151205330751
2012-12-27,0.9400921658986177,1.02017104995576,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.008872809684991,1.0200677336525392,1.0200677336525392
2012-12-28,0.9539170506912443,1.0351735653962857,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.0237091745332998,1.0350687297356647,1.0350687297356647
2012-12-31,0.969278033794163,1.0518430269968702,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.040194024364754,1.05173650316136,1.05173650316136
2013-01-04,0.9715821812596007,1.0543434462369576,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.042666751839472,1.054236669175214,1.054236669175214
2013-01-07,0.9731182795698926,1.056010392397016,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0443152368226174,1.0559034465177837,1.0559034465177837
2013-01-08,0.9688940092165901,1.0514262904568557,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0397819031189677,1.0513198088257176,1.0513198088257176
2013-01-09,0.9681259600614442,1.0505928173768264,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.038957660627395,1.0504864201544328,1.0504864201544328
2013-01-10,0.9704301075268821,1.053093236616914,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.041430388102113,1.0529865861682872,1.0529865861682872
2013-01-11,0.9558371735791096,1.037257248096359,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0257697807622317,1.037152201413877,1.037152201413877
2013-01-14,0.9896313364055304,1.0739300636176443,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0620364503914306,1.0738178737765371,1.0738178737765371
2013-01-15,0.9953917050691249,1.0801811117178637,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.0682182690782258,1.0800248994487707,1.0800248994487707
2013-01-16,0.9880952380952385,1.0722631174575858,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.060387965408285,1.0721080502629965,1.0721080502629965
2013-01-17,0.981950844854071,1.0655953328173522,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0537940254757034,1.0654412298960287,1.0654412298960287
2013-01-18,0.996543778801844,1.0814313213379072,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.0694546328155852,1.0812749282675773,1.0812749282675773
2013-01-21,1.0000000000000004,1.0851819501980386,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0731637240276621,1.0850250147239964,1.0850250147239964
2013-01-22,0.9984639016897086,1.0835150040379802,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0715152390445166,1.0833583096322543,1.0833583096322543
2013-01-23,1.0003840245775735,1.0855986867380532,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0735758452734483,1.0854416909969318,1.0854416909969318
2013-01-24,0.9938556067588331,1.0785141655578048,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0665697840950803,1.0783581943570286,1.0783581943570286
2013-01-25,0.9892473118279576,1.0735133270776294,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.061624329145644,1.073358079081803,1.073358079081803
2013-01-28,1.0161290322580652,1.102684884878652,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.0904728163506887,1.1025254181872868,1.1025254181872868
2013-01-29,1.0238095238095244,1.111019615678944,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.0987152412664158,1.1108589436459964,1.1108589436459964
2013-01-30,1.029569892473119,1.1172706637791632,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1048970599532113,1.1171090877400287,1.1171090877400287
2013-01-31,1.03225806451613,1.1201878195592656,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.107781908673716,1.1200258216505772,1.1200258216505772
2013-02-01,1.052227342549924,1.1418581196400253,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.1292122134546063,1.1416929878432223,1.1416929878432223
2013-02-04,1.0541474654377887,1.1439418023400982,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.131272819683538,1.1437763692078995,1.1437763692078995
2013-02-05,1.061827956989248,1.1522765331403904,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.139515244599265,1.152109894666609,1.152109894666609
2013-02-06,1.0649001536098317,1.1556104254605073,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.142812214565556,1.1554433048500932,1.1554433048500932
2013-02-07,1.059907834101383,1.1501928504403174,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.1374546383703332,1.1500265133019318,1.1500265133019318
2013-02-08,1.0633640552995398,1.1539434793004488,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1411637295824104,1.1537765997583511,1.1537765997583511
2013-02-18,1.0476190476190483,1.13685728115985,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.12426675850517,1.1366928725679963,1.1366928725679963
2013-02-19,1.030721966205838,1.1185208733992076,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1061334236905707,1.1183591165588354,1.1183591165588354
2013-02-20,1.0353302611367137,1.123521711879383,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.111078878640007,1.1233592318340613,1.1233592318340613
2013-02-21,0.998463901689709,1.0831195210615068,1.083119521061507,1.083119521061507,1.083119521061507,1.083119521061507,1.083119521061507,1.0713523619437566,1.082962883849239,1.082962883849239
2013-02-22,0.9953917050691252,1.082219698690163,1.0822196986901635,1.0822196986901635,1.0822196986901635,1.0822196986901635,1.0822196986901635,1.068961891804962,1.082063191607272,1.082063191607272
2013-02-25,0.996927803379417,1.0826706235646175,1.0826706235646177,1.0826706235646177,1.0826706235646177,1.0826706235646177,1.0826706235646177,1.070140139134574,1.0825140512704419,1.0825140512704419
2013-02-26,0.9823348694316442,1.0782460728183052,1.0782460728183054,1.0782460728183054,1.0782460728183054,1.0782460728183054,1.0782460728183054,1.064023535616114,1.0780901403882268,1.0780901403882268
2013-02-27,0.9915514592933954,1.0781005095984748,1.078100509598475,1.078100509598475,1.078100509598475,1.078100509598475,1.078100509598475,1.0638527232408697,1.0779445982192744,1.0779445982192744
2013-02-28,1.0249615975422437,1.0879086354584548,1.087908635458455,1.087908635458455,1.087908635458455,1.087908635458455,1.087908635458455,1.0750448019637855,1.0877513056600843,1.0877513056600843
2013-03-01,1.0238095238095248,1.08757847210337,1.0875784721033703,1.0875784721033703,1.0875784721033703,1.0875784721033703,1.0875784721033703,1.0738171653126563,1.0874211900521469,1.0874211900521469
2013-03-04,0.9754224270353312,1.0737002201825312,1.0737002201825314,1.0737002201825314,1.0737002201825314,1.0737002201825314,1.0737002201825314,1.039401886610729,1.0735449451588333,1.0735449451588333
2013-03-05,1.0034562211981577,1.0820319648044987,1.082031964804499,1.082031964804499,1.082031964804499,1.082031964804499,1.082031964804499,1.0474245353987477,1.0818754848710697,1.0818754848710697
2013-03-06,1.0142089093702007,1.0851625280092143,1.0851625280092145,1.0851625280092145,1.0851625280092145,1.0851625280092145,1.0851625280092145,1.0513085628031495,1.0850055953439457,1.0850055953439457
